,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Ilebo,100,CD,1555896130,98,-4.33,20.59,72.73,2.48
1,Rikitea,34,PF,1555896130,81,-23.12,-134.97,79.95,6.93
2,Biltine,1,TD,1555896130,8,14.53,20.93,87.33,17.43
3,Cape Town,20,ZA,1555896065,63,-33.93,18.42,64.0,16.11
4,Tasiilaq,27,GL,1555894200,80,65.61,-37.64,30.2,3.36
5,Charters Towers,20,AU,1555896131,73,-20.07,146.27,75.43,9.73
6,Georgetown,40,GY,1555891200,78,6.8,-58.16,82.4,13.87
7,Nara,75,JP,1555895669,77,34.68,135.8,73.0,3.36
8,Hilo,20,US,1555896086,57,19.71,-155.08,80.6,9.17
9,Westport,100,IE,1555896005,87,53.8,-9.52,54.0,4.0
10,Perth,0,GB,1555896032,66,56.4,-3.43,55.0,3.36
11,Butaritari,100,KI,1555896132,81,3.07,172.79,82.24,24.36
12,Santa Cruz,1,US,1555896128,72,36.97,-122.03,71.6,8.05
13,Fortaleza,20,BR,1555895891,83,-3.73,-38.52,81.0,2.24
14,Mareeba,40,AU,1555894407,66,-16.99,145.42,84.2,19.46
15,Saskylakh,91,RU,1555896135,94,71.97,114.09,4.19,8.93
16,Gamba,95,CN,1555896135,55,28.28,88.52,24.26,3.53
17,Alofi,63,NU,1555891200,69,-19.06,-169.92,80.6,21.92
18,Busselton,3,AU,1555896025,49,-33.64,115.35,59.0,8.23
19,Hermanus,0,ZA,1555895782,89,-34.42,19.24,64.0,4.0
20,Aranos,50,NA,1555896136,43,-24.14,19.11,67.44,5.5
21,Bagdarin,99,RU,1555896136,40,54.44,113.59,31.01,1.95
22,Ushuaia,20,AR,1555891200,65,-54.81,-68.31,46.4,9.17
23,Upernavik,100,GL,1555896136,90,72.79,-56.15,10.76,13.69
24,Dwarka,0,IN,1555895707,53,28.58,77.04,90.0,3.44
25,Quirinopolis,0,BR,1555896026,61,-18.45,-50.45,73.62,1.54
26,Airai,46,TL,1555896137,60,-8.93,125.41,80.4,4.0
27,Faanui,100,PF,1555896137,73,-16.48,-151.75,83.12,3.29
28,Lumsden,20,CA,1555896009,26,50.65,-104.86,55.4,14.99
29,Eucaliptus,76,BO,1555896137,59,-17.6,-67.51,53.38,15.86
30,Punta Arenas,0,CL,1555895587,70,-53.16,-70.91,48.2,4.7
31,Qaanaaq,100,GL,1555896137,85,77.48,-69.36,7.74,2.98
32,Touros,20,BR,1555891200,88,-5.2,-35.46,77.0,4.7
33,Ilulissat,99,GL,1555894200,85,69.22,-51.1,24.8,3.36
34,Puerto Baquerizo Moreno,75,EC,1555891200,94,-0.9,-89.6,77.0,4.7
35,Haines Junction,31,CA,1555896138,51,60.75,-137.51,37.38,14.76
36,Nayoro,70,JP,1555896138,75,44.36,142.46,45.46,8.59
37,Jamestown,6,AU,1555896138,54,-33.21,138.6,60.73,9.78
